id,store1id,store1name,store2name,store2name_1,address_distence,name_distance,avgdist,address1,address2,test,dup
zz,ping market,st_053545,lao market,st_268310,0,4,2,515 3rd St_NA_Raymond_WA_98577,515 3rd St_NA_Raymond_WA_98577,0,0
1,columbus mkt,st_315006,columbus market,st_020506,0,3,1.5,2701 Alta Vista Dr_NA_Bakersfield_CA_93305,2701 Alta Vista Dr_NA_Bakersfield_CA_93305,0,1
3,bj's market,st_399873,us market,st_063768,0,3,1.5,427 Baltimore St_NA_Middletown_OH_45044,427 Baltimore St_NA_Middletown_OH_45044,0,0
4,e t food shop,st_020622,f t food shop 221,st_179803,0,5,2.5,2735 Bessemer Rd_NA_Birmingham_AL_35208,2735 Bessemer Rd_NA_Birmingham_AL_35208,0,1
16,brit mini market 1,st_392020,brito mini market inc,st_305462,0,4,2,1558 E Lycoming St_NA_Philadelphia_PA_19124,1558 E Lycoming St_NA_Philadelphia_PA_19124,0,1
25,stoneham food market,st_016711,stoneham food market,st_208727,0,0,0,12161 Highway 105 E_NA_Plantersville_TX_77363,12161 Highway 105 E_NA_Plantersville_TX_77363,0,1
36,van dyke grocery inc,st_065110,van dyke grocery,st_153095,0,4,2,401 N 4th St_NA_Atchison_KS_66002,401 N 4th St_NA_Atchison_KS_66002,0,1
37,dollar general 15427,st_348755,dollar general 2802,st_005641,0,4,2,724 N Andover Rd_NA_Andover_KS_67002,724 N Andover Rd_NA_Andover_KS_67002,0,1
51,y's hometown foods,st_384121,ys hometown foods,st_158900,0,1,0.5,14451 State Highway 31 E_NA_Brownsboro_TX_75756,14451 State Highway 31 E_NA_Brownsboro_TX_75756,0,1
60,quick pick food mart,st_030368,quik pick food mart,st_235295,0,1,0.5,3332 W Lincoln Ave_NA_Milwaukee_WI_53215,3332 W Lincoln Ave_NA_Milwaukee_WI_53215,0,1
63,discount food mart,st_345432,discount food mart,st_058929,0,0,0,573 W Main St_NA_Senatobia_MS_38668,573 W Main St_NA_Senatobia_MS_38668,0,1
67,winkler food mart,st_356345,winkler food mart,st_182055,0,0,0,8353 Winkler Dr_NA_Houston_TX_77017,8353 Winkler Dr_NA_Houston_TX_77017,0,1
32,7-eleven 24450f,st_392107,7-eleven 24450f,st_021146,0,0,0,743 Main St_NA_Falmouth_MA_2540,743 Main St_NA_Falmouth_MA_02540,1,1
58,jr supermarket,st_311234,j r supermarket llc,st_326794,0,5,2.5,915A W Front St_NA_Plainfield_NJ_07063,915A W Front St_NA_Plainfield_NJ_7063,1,1
21,discount food mart 5166,st_070943,discount food mart 5165,st_070938,1,1,1,1800 Gault Ave N_NA_Fort Payne_AL_35967,1808 Gault Ave S_NA_Fort Payne_AL_35967,2,0
64,stan's liquor,st_016836,andy's liquor,st_103029,0,4,2,842 W Manchester Blvd_NA_Inglewood_CA_90301,440 W Manchester Blvd_NA_Inglewood_CA_90301,2,0
2,shawns market,st_051352,ks market,st_059175,0,5,2.5,6101 Avalon Blvd_NA_Los Angeles_CA_90003,8004 Avalon Blvd_NA_Los Angeles_CA_90003,3,0
6,sunny supermarket,st_140376,ortiz supermarket,st_286736,0,5,2.5,821 Clinton Ave_NA_Newark_NJ_07108,475 Clinton Ave_NA_Newark_NJ_07108,3,0
15,rite aid 5825,st_002138,rite aid 5824,st_002137,0,1,0.5,1690 E Grand Ave_NA_Arroyo Grande_CA_93420,1207 E Grand Ave_NA_Arroyo Grande_CA_93420,3,0
20,evergreen grocery,st_133349,560 evergreen grocery,st_372696,0,4,2,418 Evergreen Ave_NA_Brooklyn_NY_11221,560 Evergreen Ave_NA_Brooklyn_NY_11221,3,0
28,circle k 2721555,st_209388,circle k 2721569,st_209396,0,2,1,5550 Highway 90_NA_Theodore_AL_36582,5809 Highway 90_NA_Theodore_AL_36582,3,0
46,huck's 366,st_025546,huck's 239,st_101142,0,3,1.5,3228 S Park Ave_NA_Herrin_IL_62948,520 S Park Ave_NA_Herrin_IL_62948,3,0
55,family dollar store 1675,st_184904,family dollar store 6612,st_184905,0,3,1.5,2510 Tobacco Rd_NA_Hephzibah_GA_30815,2809 Tobacco Rd_NA_Hephzibah_GA_30815,3,0
29,7-eleven 53321,st_028503,7-eleven 0627,st_115534,0,4,2,3400 Hondo Pass Dr_NA_El Paso_TX_79904,5710 Hondo Pass Dr_NA_El Paso_TX_79924,4,0
45,7-eleven 34213,st_197530,7-eleven 32869,st_113056,0,4,2,4076 S Orlando Dr_NA_Sanford_FL_32773,2939 S Orlando Dr_NA_Sanford_FL_32773,4,0
50,south union meat market,st_041877,south union market,st_285473,0,5,2.5,127 S Union St_NA_Lawrence_MA_01843,280 S Union St_NA_Lawrence_MA_1843,4,0
66,rebel oil company 2161,st_210370,rebel oil company 2144,st_193410,0,2,1,3785 W Tropicana Ave_NA_Las Vegas_NV_89103,6060 W Tropicana Ave_NA_Las Vegas_NV_89103,4,0
23,cvs pharmacy 4730,st_240580,cvs pharmacy 4553,st_114370,0,3,1.5,1187 Grayson Hwy_NA_Lawrenceville_GA_30045,202 Grayson Hwy_NA_Lawrenceville_GA_30046,5,0
27,raceway,st_192386,raceway 6887,st_335277,0,5,2.5,6125 Highway 90_NA_Milton_FL_32570,3576 Highway 90_NA_Milton_FL_32571,5,0
39,halal market 1,st_336253,halal market inc.,st_170136,0,4,2,3145 N Sharon Amity Rd_Ste C_Charlotte_NC_28205,3145 N Sharon Amity Rd_NA_Charlotte_NC_28205,5,1
19,circle k 2723302,st_312961,circle k 2723797,st_312966,0,3,1.5,1414 E Williams St_NA_Apex_NC_27539,302 E Williams St_NA_Apex_NC_27502,6,0
22,7 eleven 35176h,st_295453,7 eleven 36018h,st_313285,0,4,2,2275 Genesee St_NA_Buffalo_NY_14211,5100 Genesee St_NA_Buffalo_NY_14225,6,0
7,cody-mystik,st_028814,cody mystik,st_308449,2,1,1.5,65 Cody Rd N_Ste E_Mobile_AL_36608,65 Cody Road N_NA_Mobile_AL_36695,9,1
10,gordy's market inc,st_331591,gordys market,st_103939,22,5,13.5,4241 Division Ave S_NA_Grand Rapids_MI_49548,4241 Division Ave S_NA_Wyoming_MI_49548,11,1
42,family dollar store 1204,st_185264,family dollar store 4072,st_185276,0,4,2,305 NW 23rd St_NA_Oklahoma City_OK_73103,3321 NW 23rd St_Ste 101_Oklahoma City_OK_73107,11,0
41,circle k 2721259,st_156636,circle k 2722122,st_206938,8,3,5.5,12995 N US Highway 441_NA_Citra_FL_32113,3550 N US Highway 441_NA_Ocala_FL_34475,13,0
31,l.f. deli grocery,st_283666,fotih deli grocery,st_126339,18,5,11.5,14604 Liberty Ave_NA_Jamaica_NY_11435,10402 Liberty Ave_NA_Ozone Park_NY_11417,14,0
34,dollar general 0387,st_003780,dollar general 11311,st_184324,12,4,8,204 Main St_NA_Millsboro_DE_19966,142 Main St_NA_Milner_GA_30257,15,0
44,hunter groceries,st_314042,hunters grocery,st_219556,0,4,2,2743 Rockmart Rd_NA_Villa Rica_GA_30180,2743 ROCKMART RD_NA_VILLA RICA_GA_30180,15,1
68,gerrity's supermarket,st_026166,gerrity's supermarket,st_128765,22,0,11,801 Wyoming Ave_NA_West Pittston_PA_18643,2020 Wyoming Ave_NA_Wyoming_PA_18644,15,0
61,manor market,st_124413,country market,st_288121,15,5,10,3100 W Line St_NA_Bishop_CA_93514,10476 W Linne Rd_NA_Tracy_CA_95377,16,0
8,nikis market,st_241740,choice market,st_303152,11,5,8,911 Commercial St_NA_Palmer_NE_68864,5395 Commercial St SE_NA_Salem_OR_97306,17,0
12,rite aid 5675,st_003322,rite aid 3030,st_132542,16,4,10,244 E 3rd St_NA_Calexico_CA_92231,2532 E 3rd St_NA_Dayton_OH_45403,17,0
53,walgreens 04650,st_094240,walgreens 9494,st_047264,14,4,9,138 Sudderth Dr_NA_Ruidoso_NM_88345,4397 Sudderth Rd_NA_Buford_GA_30518,17,0
62,dollar general 0001,st_146039,dollar general 15262,st_342285,18,5,11.5,223 W Main St_NA_Ada_OK_74820,201 W Main St_NA_Albert Lea_MN_56007,17,0
30,food lion 769,st_159141,food lion 2608,st_001804,22,3,12.5,8100 Idlewild Rd_NA_Charlotte_NC_28227,7868 Idlewild Rd_NA_Indian Trail_NC_28079,18,0
38,center road market,st_078461,center food mart,st_048583,17,4,10.5,2014 N Center Rd_NA_Burton_MI_48509,701 N Center_NA_Sabinal_TX_78881,18,0
40,7 eleven 36476a,st_313694,7-eleven 34031a,st_054820,19,5,12,290 N Sunrise Ave_NA_Roseville_CA_95661,861 N Sunset Ave_NA_La Puente_CA_91744,18,0
13,dollar tree 6491,st_409268,dollar tree 2814,st_045991,12,4,8,4645 E Broadway Rd_NA_Phoenix_AZ_85040,1737 E Broadway Rd_Ste 101_Tempe_AZ_85282,19,0
33,dollar general 9840,st_017527,dollar general 3986,st_147272,19,3,11,627 Main St_NA_Frenchburg_KY_40322,1258 Main St_NA_Fyffe_AL_35971,19,0
47,walgreens 03091,st_143888,walgreens 09677,st_018567,20,4,12,8151 S Quebec St_NA_Englewood_CO_80112,2101 S Queen St_NA_York_PA_17403,19,0
57,discount food mart 5121,st_244671,discount food mart 5122,st_244672,18,1,9.5,45235 US Highway 78_NA_Lincoln_AL_35096,53410 US Highway 78 W_NA_Eastaboga_AL_36260,19,0
17,dollar general #0432,st_011093,dollar general 10174,st_015597,20,4,12,11 E Main St_NA_Everett_PA_15537,3030 E Main St_NA_Farmington_NM_87402,20,0
48,dollar tree 2609,st_278654,dollar tree 2659,st_278658,24,1,12.5,5686 S Redwood Rd_NA_Salt Lake City_UT_84123,10457 S Redwood Rd_NA_South Jordan_UT_84095,20,0
52,dollar general 13662,st_295555,dollar general 7364,st_147281,19,3,11,22910 State Highway 76_NA_Dibble_OK_73031,36321 State Highway 79_NA_Cleveland_AL_35049,20,0
11,dollar general 2367,st_423408,dollar general 16114,st_384068,26,5,15.5,1914 E 10th St_NA_Jeffersonville_IN_47130,605 E 10th St_NA_Kinsley_KS_67547,22,0
54,tampa market,st_044685,jack's market,st_100756,22,5,13.5,7219 Tampa Ave_NA_Reseda_CA_91335,590 Tangent St_NA_Lebanon_OR_97355,22,0
24,dynofood mart,st_349864,food mart,st_416785,26,4,15,2415 Greenville Rd_NA_Hopkinsville_KY_42240,187 Greenville St_NA_Newnan_GA_30263,23,0
26,pike food mart,st_323972,kirit food mart,st_320691,30,4,17,1150 Highway 44 E_NA_Mccomb_MS_39648,1256 Highway 44 E_NA_Shepherdsville_KY_40165,23,0
49,walgreens 07305,st_015443,walgreens 04039,st_198379,24,4,14,2851 S Rose Ave_NA_Oxnard_CA_93033,580 S Roselle Rd_NA_Schaumburg_IL_60193,23,0
56,dollar general 10010,st_015686,dollar general 17691,st_421050,22,4,13,1855 US Highway 63_NA_Cumberland_WI_54829,3409 US Highway 64 E_NA_Asheboro_NC_27203,23,0
5,mother's grocery,st_270630,heiers grocery,st_158736,22,5,13.5,8972 Chapman Ave_Ste A_Garden Grove_CA_92841,100 Chapman Ave_NA_Hosmer_SD_57448,24,0
14,family dollar store 4194,st_196470,family dollar store 6049,st_012240,20,4,12,790 E Cumberland Gap Pkwy_NA_Corbin_KY_40701,1285 E Cumberland St_NA_Dunn_NC_28334,24,0
9,quiktrip 968,st_233122,quicktrip 855,st_147452,36,4,20,8836 Davis Blvd_NA_Keller_TX_76248,6345 Davis Blvd_NA_North Richland Hills_TX_76180,25,0
43,grove market,st_305866,lans market,st_056782,29,5,17,133 Randolph Rd_NA_Oak Ridge_TN_37830,3073 Randolph St_NA_Huntington Park_CA_90255,26,0
59,dollar general 9127,st_147723,dollar general 2582,st_133083,25,4,14.5,4032 W Lark Rd_NA_Battlefield_MO_65619,2420 W Laurel Ave_NA_Eunice_LA_70535,27,0
35,family market,st_192272,miles market,st_169831,25,4,14.5,4748 Mile Stretch Dr_NA_Holiday_FL_34690,396 Miles Ave_NA_Yuba City_CA_95991,28,0
65,kountry mart,st_074824,country store,st_216913,34,5,19.5,456 W Mount Lookout Rd_NA_Mount Lookout_WV_26678,1501 W Mountain View Rd_NA_Phoenix_AZ_85021,30,0
18,zip stop,st_322602,short stop,st_024716,30,5,17.5,701 E Sherman Ave_NA_Coeur D Alene_ID_83814,100 E Sherwood St # 2ES_NA_Decatur_MI_49045,32,0
