Region,type,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
Midwest Region,99cent,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midwest Region,dg,781,787,810,818,827,851,873,892,907,949,958,1001,1053,1046
Midwest Region,grocer,621,665,712,736,745,759,764,698,682,678,669,652,640,602
Midwest Region,super,2063,2042,2023,2001,1988,1991,1991,1922,1927,1937,1885,1875,1852,1743
Midwest Region,walmart,305,306,306,307,307,307,311,315,315,315,314,310,309,309
Northeast Region,99cent,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Northeast Region,dg,195,194,200,206,209,220,232,239,250,271,278,286,299,298
Northeast Region,grocer,305,311,340,329,320,315,310,278,270,262,246,232,228,209
Northeast Region,super,617,620,634,626,619,614,631,618,610,619,608,604,604,569
Northeast Region,walmart,69,68,68,68,68,69,69,69,69,69,69,69,69,69
South Region,99cent,2,2,3,4,3,4,5,3,6,2,2,2,2,2
South Region,dg,1412,1438,1481,1521,1582,1626,1671,1721,1761,1821,1821,1854,1913,1908
South Region,grocer,1028,1052,1093,1134,1153,1202,1192,1119,1096,1053,992,941,908,804
South Region,super,2781,2739,2752,2716,2754,2750,2810,2742,2722,2709,2677,2641,2607,2489
South Region,walmart,463,464,465,467,468,477,491,502,510,497,494,491,490,490
West Region,99cent,16,18,24,22,22,27,29,31,28,25,26,22,21,18
West Region,dg,58,59,61,66,88,117,137,154,173,194,209,219,237,234
West Region,grocer,576,614,640,636,630,642,685,651,627,624,616,611,602,541
West Region,super,1101,1128,1125,1141,1124,1131,1137,1133,1146,1160,1149,1167,1192,1126
West Region,walmart,106,108,109,111,113,114,116,117,119,119,118,119,119,119
